,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,2.344765758,0.982142658,0.628559453,-0.15375759,-0.974428597,-0.049596536,1.052548283,-1.327835222
1,2.332237964,-0.607018913,0.327041358,-0.263335771,0.861438868,-0.09251223,1.043184552,-1.322843914
2,1.782699403,1.856181523,1.155620466,-0.049016359,-0.820777352,-0.025842528,1.038502686,-1.332826529
3,0.932967509,1.856181523,0.156966082,-0.049832918,-0.766028058,-0.050329301,1.038502686,-1.337817836
4,-0.012880996,1.856181523,0.344710799,-0.032905864,-0.759846686,-0.085615759,1.038502686,-1.337817836
5,0.087446638,1.856181523,-0.269729659,0.014669345,-0.894070762,-0.089618418,1.038502686,-1.337817836
6,-0.111366307,1.856181523,-0.200917697,-0.306633199,-0.292711578,-0.090724901,1.03382082,-1.337817836
7,-0.39513665,1.856181523,-0.255231933,-0.073541661,-0.23707923,-0.123476471,1.03382082,-1.337817836
8,-0.942359147,1.061600737,-0.458702574,0.044253929,-0.193809627,-0.100499202,1.03382082,-1.342809143
9,-0.094469575,1.856181523,-0.185283158,-0.224687089,0.110843704,-0.086501418,1.03382082,-1.337817836
10,-0.351394643,1.856181523,0.019648332,-0.036026972,-0.455193354,-0.077699717,1.038502686,-1.342809143
11,-0.315916771,1.856181523,-0.265355756,-0.152251707,0.069340207,-0.098365946,1.038502686,-1.342809143
12,-0.418823656,1.856181523,-0.042985167,-0.17694608,-0.289179365,-0.069758849,1.038502686,-1.342809143
13,-0.630111758,1.856181523,-0.577580582,0.002165016,-0.954118375,-0.104748479,1.03382082,-1.342809143
14,-1.028527214,1.856181523,-0.471318982,-0.183578487,-0.188511308,-0.107436757,1.038502686,-1.342809143
15,-0.918882691,1.697265365,-0.479596285,-0.052132275,-0.643283672,-0.041451186,1.038502686,-1.342809143
16,-0.576737036,1.856181523,0.206367799,-0.101997984,-0.558510571,-0.064981504,1.038502686,-1.34780045
17,-0.921409305,1.856181523,-0.556237467,-0.273641318,-0.686553276,-0.089741905,1.038502686,-1.34780045
18,-0.989364696,1.697265365,-0.034486831,-0.022697424,-0.384549104,-0.068159102,1.03382082,-1.342809143
19,-0.667116127,1.856181523,0.014734493,-0.027513828,-0.649465044,-0.0540704,1.03382082,-1.34780045
20,-1.32271984,0.90268458,-0.365748566,0.024812409,-0.897602975,-0.058425914,1.038502686,-1.34780045
21,-1.13548721,1.061600737,-0.384322619,-0.198233874,-0.438415345,-0.051262676,1.038502686,-1.34780045
22,-1.129433864,1.856181523,-0.134498871,0.074117028,-0.362472775,-0.091203796,1.03382082,-1.34780045
23,-0.889616078,1.856181523,-0.095045606,-0.126085991,-0.505527383,-0.042947088,1.03382082,-1.34780045
24,-0.668853174,1.856181523,-0.064207879,-0.128993894,-0.370420254,-0.066125772,1.03382082,-1.34780045
25,-0.772128524,0.982142658,-0.377186227,-0.133069819,-0.978843863,-0.039167873,1.038502686,-1.352791757
26,-0.742703998,1.617807287,-0.283320209,-0.159853866,-0.722758454,-0.05111848,1.038502686,-1.352791757
27,-1.085744495,1.856181523,-0.261969953,-0.076433418,-0.285647153,-0.028388432,1.038502686,-1.352791757
28,-1.172912681,1.697265365,-0.41522288,-0.119236317,-0.260038612,-0.065429219,1.03382082,-1.352791757
29,-1.149173036,1.856181523,-0.293347101,-0.135929879,-0.909965718,-0.050286754,1.03382082,-1.352791757
30,-1.02289497,1.617807287,-0.145594257,0.181187267,-0.496696852,-0.075833015,1.03382082,-1.352791757
31,-1.004945483,1.856181523,-0.221054386,-0.012602257,-0.227365646,-0.040644839,1.03382082,-1.352791757
32,-1.09158729,1.538349208,0.124615838,0.262123942,-0.352759191,-0.000767259,1.03382082,-1.34780045
33,-1.31366614,1.617807287,-0.161110092,0.033312676,-0.592949643,-0.074992971,1.029138955,-1.34780045
34,-0.600266129,1.776723444,-0.184706511,-0.054398947,-0.147890864,-0.06967594,1.029138955,-1.34780045
35,-1.255185551,1.617807287,-0.334150844,-0.060125277,-0.75543142,-0.087770266,1.029138955,-1.34780045
36,-1.459893929,1.538349208,-0.251206416,0.123243598,-0.387198263,-0.041558456,1.029138955,-1.34780045
37,-1.295084999,1.856181523,-0.678877623,-0.272068757,-0.463140833,-0.080390852,1.029138955,-1.352791757
38,-0.205640594,1.856181523,-0.271498567,-0.060590889,-0.650348097,-0.080964573,1.029138955,-1.342809143
39,-0.674222229,1.856181523,-0.781996097,-0.146394578,-0.042807541,-0.105163502,1.029138955,-1.342809143
40,-0.933200171,1.856181523,-0.490604014,-0.075787515,-0.423403442,-0.065061775,1.029138955,-1.342809143
41,-1.360934878,1.776723444,-0.674974612,0.321420204,-0.802233236,-0.095741314,1.029138955,-1.342809143
42,-1.497898416,1.617807287,-0.669538066,-0.058856547,-0.850801158,-0.060294906,1.03382082,-1.342809143
43,0.049284238,1.856181523,-0.255048938,-0.161369973,-0.846385893,-0.068561829,1.03382082,-1.342809143
44,-0.451722277,1.856181523,-0.196926689,-0.066694868,-0.675956638,-0.078027821,1.029138955,-1.342809143
45,-0.628427349,1.856181523,-0.442146789,0.00591115,-0.624739556,-0.114682956,1.029138955,-1.342809143
46,-0.970994106,1.697265365,-0.698570238,-0.079056072,-0.714810976,-0.100554562,1.029138955,-1.342809143
47,-1.12427536,1.141058815,-0.585568432,0.288091604,-0.766028058,-0.083298516,1.024457089,-1.34780045
48,-1.537060934,0.90268458,-0.617999104,0.257596563,-0.885240231,-0.041104705,1.024457089,-1.342809143
49,-1.103114967,0.90268458,-1.108073689,-0.066120029,-0.640634513,-0.104182539,1.024457089,-1.34780045
50,-1.552220618,-0.607018913,-1.367495084,-0.131733818,-0.609727653,-0.13408435,1.024457089,-1.34780045
51,-1.245500198,1.141058815,-0.3392404,0.050048538,-0.321852331,-0.044654783,1.024457089,-1.34780045
52,-1.452735189,0.982142658,-0.386153968,0.185792759,0.471129383,-0.033682711,1.024457089,-1.34780045
53,-1.380779326,1.856181523,-0.54726669,0.091422046,-0.232663965,-0.015950162,1.024457089,-1.34780045
54,-1.190072601,1.856181523,-0.164721854,-0.18588642,-0.639751459,-0.005976572,1.024457089,-1.352791757
55,-1.294558621,1.856181523,-0.45816222,0.016607544,-0.750133101,-0.043566546,1.024457089,-1.352791757
56,-1.244868544,1.856181523,-0.262347318,0.032272594,-0.709512657,-0.064425551,1.024457089,-1.352791757
57,-1.60727975,1.856181523,0.272202288,0.582983823,-0.615909025,-0.008381504,1.024457089,-1.352791757
58,-1.396781215,1.856181523,-0.350226393,0.052828465,-0.31037264,0.044506891,1.024457089,-1.352791757
59,-0.688592346,-2.116722406,-1.073948401,-0.722282412,-1.175764712,-0.136872714,1.024457089,-1.357783065
60,-0.251488112,1.856181523,0.228628449,0.066822406,-0.76956027,-0.010407319,1.029138955,-1.357783065
61,1.183102302,1.617807287,0.178070055,0.346475273,-1.182829137,0.064364364,1.024457089,-1.357783065
62,-1.563116641,1.697265365,0.323553689,0.97215131,-0.925860675,0.001878409,1.019775223,-1.357783065
63,-1.410519679,1.856181523,0.917142135,0.831169881,-0.798701024,0.019841942,1.019775223,-1.362774372
64,-0.672116717,1.538349208,0.321959467,0.573425323,-0.912614878,-0.011870704,1.019775223,-1.362774372
65,-1.423310663,1.856181523,-0.011288984,0.044253929,-0.725407613,0.015337422,1.019775223,-1.362774372
66,-1.613385734,1.538349208,-0.422967559,-0.064169929,-0.562925837,-0.067126396,1.019775223,-1.362774372
67,-0.663905221,1.856181523,0.629475973,1.188414301,-0.824309564,0.02660206,1.015093357,-1.357783065
68,-1.062794418,1.856181523,0.625116916,0.490807025,-1.016815148,0.026074863,1.019775223,-1.362774372
69,-1.521480147,1.379433051,-0.341419984,-0.090030356,0.351034157,-0.00837892,1.019775223,-1.357783065
70,-1.104746739,-0.20972852,0.249885232,0.211385052,-0.912614878,0.001536619,1.019775223,-1.357783065
71,-1.653916834,1.379433051,-0.830013953,-0.05164173,-0.744834782,-0.093355574,1.019775223,-1.357783065
72,-1.116274415,1.617807287,0.049970162,0.517894992,-0.764261951,0.059076382,1.019775223,-1.357783065
73,-1.774299467,1.379433051,-1.501432523,-1.108350432,-1.24287675,-0.048068198,1.019775223,-1.357783065
74,-0.730439392,-0.686476992,0.343232373,0.240243334,-1.002686297,-0.08571359,1.019775223,-1.357783065
75,-1.551009949,-0.924851228,-1.055421428,-0.093444626,-0.585885218,-0.128530525,1.019775223,-1.352791757
76,-0.749704824,0.584852265,0.119619079,0.015721876,-0.167318033,-0.061850269,1.019775223,-1.352791757
77,-1.452577276,-0.765935071,0.16244937,0.162983742,-0.622090397,0.039711597,1.019775223,-1.352791757
78,-1.614964868,-0.448102756,-0.024157736,0.114146766,-0.328033703,0.016601687,1.019775223,-1.357783065
79,-0.978679224,0.743768422,-0.410691199,0.081892324,-0.955001428,-0.081967734,1.015093357,-1.352791757
80,-1.247868898,-0.924851228,-0.902047613,-0.203999318,-0.720992348,-0.092760203,1.019775223,-1.352791757
81,-1.423310663,1.856181523,-0.678626888,-0.203999318,-1.097172983,0.018987658,1.019775223,-1.34780045
82,-1.236920237,1.856181523,-0.614747039,0.038546958,-1.08216108,-0.07431346,1.019775223,-1.352791757
83,-1.612385616,1.856181523,-1.187769888,-0.081474329,-0.953235322,-0.080725342,1.019775223,-1.352791757
84,-1.085323393,0.505394187,0.072942383,-0.016707667,-0.846385893,-0.029592483,1.019775223,-1.352791757
85,-0.769759823,1.856181523,0.52250616,0.309776967,-0.925860675,0.019989385,1.019775223,-1.352791757
